Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
Красивый пентхаус - отличный вид.;3-комн. апартаменты, 170 м?;Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, 21с1;32 000 ?/сутки;45 из 86;170 м?;сегодня, 11:11;https://www.cian.ru/rent/flat/177775851/;['https://cdn-p.cian.site/images/7/473/354/kvartira-moskva-1y-krasnogvardeyskiy-proezd-453374797-4.jpg', 'https://cdn-p.cian.site/images/7/473/354/kvartira-moskva-1y-krasnogvardeyskiy-proezd-453374797-4.jpg', 'https://cdn-p.cian.site/images/7/473/354/kvartira-moskva-1y-krasnogvardeyskiy-proezd-453374798-2.jpg', 'https://cdn-p.cian.site/images/8/473/354/kvartira-moskva-1y-krasnogvardeyskiy-proezd-453374801-2.jpg', 'https://cdn-p.cian.site/images/7/473/354/kvartira-moskva-1y-krasnogvardeyskiy-proezd-453374796-2.jpg', 'https://www.cian.ru/avatar.axd?i=150933&t=2&p=2']
;;;;;;;;
Свободна! Размещение до 6 человек;2-комн. апартаменты, 45 м?;Москва, СВАО, р-н Отрадное, Алтуфьевское ш., 2;2 490 ?/сутки;9 из 16;45 м?;сегодня, 15:21;https://www.cian.ru/rent/flat/226925657/;['https://cdn-p.cian.site/images/5/437/638/kvartira-moskva-altufevskoe-shosse-836734502-4.jpg', 'https://cdn-p.cian.site/images/5/437/638/kvartira-moskva-altufevskoe-shosse-836734502-4.jpg', 'https://cdn-p.cian.site/images/6/437/638/kvartira-moskva-altufevskoe-shosse-836734615-2.jpg', 'https://cdn-p.cian.site/images/6/437/638/kvartira-moskva-altufevskoe-shosse-836734616-2.jpg', 'https://cdn-p.cian.site/images/6/437/638/kvartira-moskva-altufevskoe-shosse-836734608-2.jpg', 'https://www.cian.ru/avatar.axd?i=2850411&t=2&p=2']
;;;;;;;;
Лучшая Дизайнерская студия!;1-комн. апартаменты, 21 м?;Москва, СВАО, р-н Марфино, Гостиничная ул., 12К6;1 947 ?/сутки;3 из 5;21 м?;сегодня, 02:34;https://www.cian.ru/rent/flat/252809914/;['https://cdn-p.cian.site/images/43/321/501/posutochnaja-kvartira-moskva-gostinichnaya-ulica-1051233407-4.jpg', 'https://cdn-p.cian.site/images/43/321/501/posutochnaja-kvartira-moskva-gostinichnaya-ulica-1051233407-4.jpg', 'https://cdn-p.cian.site/images/53/321/501/posutochnaja-kvartira-moskva-gostinichnaya-ulica-1051233528-2.jpg', 'https://cdn-p.cian.site/images/53/321/501/posutochnaja-kvartira-moskva-gostinichnaya-ulica-1051233503-2.jpg', 'https://cdn-p.cian.site/images/63/321/501/posutochnaja-kvartira-moskva-gostinichnaya-ulica-1051233620-2.jpg', 'https://www.cian.ru/avatar.axd?i=234647&t=2&p=2']
;;;;;;;;
Sky Hermitage. Башня Федерация;2-комн. апартаменты, 115 м?;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 12;22 500 ?/сутки;49 из 62;115 м?;сегодня, 15:26;https://www.cian.ru/rent/flat/151498632/;['https://cdn-p.cian.site/images/7/452/669/kvartira-moskva-presnenskaya-naberezhnaya-966254794-4.jpg', 'https://cdn-p.cian.site/images/7/452/669/kvartira-moskva-presnenskaya-naberezhnaya-966254794-4.jpg', 'https://cdn-p.cian.site/images/7/452/669/kvartira-moskva-presnenskaya-naberezhnaya-966254789-2.jpg', 'https://cdn-p.cian.site/images/1/075/962/kvartira-moskva-presnenskaya-naberezhnaya-269570135-2.jpg', 'https://cdn-p.cian.site/images/1/075/962/kvartira-moskva-presnenskaya-naberezhnaya-269570126-2.jpg', 'https://www.cian.ru/avatar.axd?i=150933&t=2&p=2']
;;;;;;;;
В доме на Набережной;4-комн. квартира, 85 м?;Москва, ЦАО, р-н Якиманка, ул. Серафимовича, 2;5 900 ?/сутки;3 из 12;85 м?;сегодня, 12:03;https://www.cian.ru/rent/flat/207133707/;['https://cdn-p.cian.site/images/8/743/386/kvartira-moskva-ulica-serafimovicha-683347847-4.jpg', 'https://cdn-p.cian.site/images/8/743/386/kvartira-moskva-ulica-serafimovicha-683347847-4.jpg', 'https://cdn-p.cian.site/images/5/242/679/kvartira-moskva-ulica-serafimovicha-976242529-2.jpg', 'https://cdn-p.cian.site/images/5/242/679/kvartira-moskva-ulica-serafimovicha-976242514-2.jpg', 'https://cdn-p.cian.site/images/8/743/386/kvartira-moskva-ulica-serafimovicha-683347872-2.jpg', 'https://www.cian.ru/avatar.axd?i=366151&t=2&p=2']
;;;;;;;;
Посуточно от 7500р!;1-комн. апартаменты, 60 м?;Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, 21с2;10 000 ?/сутки;59 из 85;60 м?;сегодня, 20:40;https://www.cian.ru/rent/flat/221677576/;['https://cdn-p.cian.site/images/1/771/687/kvartira-moskva-1y-krasnogvardeyskiy-proezd-786177117-4.jpg', 'https://cdn-p.cian.site/images/1/771/687/kvartira-moskva-1y-krasnogvardeyskiy-proezd-786177117-4.jpg', 'https://cdn-p.cian.site/images/1/771/687/kvartira-moskva-1y-krasnogvardeyskiy-proezd-786177121-2.jpg', 'https://cdn-p.cian.site/images/1/771/687/kvartira-moskva-1y-krasnogvardeyskiy-proezd-786177118-2.jpg', 'https://cdn-p.cian.site/images/1/771/687/kvartira-moskva-1y-krasnogvardeyskiy-proezd-786177122-2.jpg']
;;;;;;;;
Студия, 18 м?, 1/7 этаж;Студия, 18 м?;Москва, ЦАО, р-н Пресненский, Большой Трехгорный пер., 1/26С1;2 500 ?/сутки;1 из 7;18 м?;сегодня, 18:07;https://www.cian.ru/rent/flat/193937197/;['https://cdn-p.cian.site/images/2/279/365/kvartira-moskva-bolshoy-trehgornyy-pereulok-563972215-4.jpg', 'https://cdn-p.cian.site/images/2/279/365/kvartira-moskva-bolshoy-trehgornyy-pereulok-563972215-4.jpg', 'https://cdn-p.cian.site/images/2/279/365/kvartira-moskva-bolshoy-trehgornyy-pereulok-563972208-2.jpg', 'https://cdn-p.cian.site/images/2/279/365/kvartira-moskva-bolshoy-trehgornyy-pereulok-563972210-2.jpg', 'https://cdn-p.cian.site/images/2/279/365/kvartira-moskva-bolshoy-trehgornyy-pereulok-563972213-2.jpg', 'https://www.cian.ru/avatar.axd?i=257245&t=2&p=2']
;;;;;;;;
Стильная двушка у Красной площади;2-комн. квартира, 62 м?;Москва, ЦАО, р-н Пресненский, пер. Брюсов, 2/14С2;4 900 ?/сутки;2 из 6;62 м?;сегодня, 07:51;https://www.cian.ru/rent/flat/202588789/;['https://cdn-p.cian.site/images/8/650/846/kvartira-moskva-pereulok-bryusov-648056882-4.jpg', 'https://cdn-p.cian.site/images/8/650/846/kvartira-moskva-pereulok-bryusov-648056882-4.jpg', 'https://cdn-p.cian.site/images/8/650/846/kvartira-moskva-pereulok-bryusov-648056876-2.jpg', 'https://cdn-p.cian.site/images/8/550/768/kvartira-moskva-pereulok-bryusov-867055835-2.jpg', 'https://cdn-p.cian.site/images/0/750/846/kvartira-moskva-pereulok-bryusov-648057030-2.jpg', 'https://www.cian.ru/avatar.axd?i=366151&t=2&p=2']
;;;;;;;;
Уютная двушка у Патриарших прудов;2-комн. квартира, 40 м?;Москва, ЦАО, р-н Пресненский, Вспольный пер., 16С1;3 900 ?/сутки;4 из 9;40 м?;сегодня, 18:07;https://www.cian.ru/rent/flat/194728101/;['https://cdn-p.cian.site/images/8/834/775/kvartira-moskva-vspolnyy-pereulok-577438891-4.jpg', 'https://cdn-p.cian.site/images/8/834/775/kvartira-moskva-vspolnyy-pereulok-577438891-4.jpg', 'https://cdn-p.cian.site/images/8/479/648/kvartira-moskva-vspolnyy-pereulok-846974821-2.jpg', 'https://cdn-p.cian.site/images/8/834/775/kvartira-moskva-vspolnyy-pereulok-577438877-2.jpg', 'https://cdn-p.cian.site/images/8/834/775/kvartira-moskva-vspolnyy-pereulok-577438853-2.jpg', 'https://www.cian.ru/avatar.axd?i=366151&t=2&p=2']
;;;;;;;;
Квартира с панорамным видом;1-комн. квартира, 38 м?;Москва, ЦАО, р-н Пресненский, ул. Красная Пресня, 38;2 900 ?/сутки;8 из 9;38 м?;сегодня, 06:17;https://www.cian.ru/rent/flat/167555255/;['https://cdn-p.cian.site/images/4/438/283/kvartira-moskva-ulica-krasnaya-presnya-382834430-4.jpg', 'https://cdn-p.cian.site/images/4/438/283/kvartira-moskva-ulica-krasnaya-presnya-382834430-4.jpg', 'https://cdn-p.cian.site/images/4/438/283/kvartira-moskva-ulica-krasnaya-presnya-382834431-2.jpg', 'https://cdn-p.cian.site/images/4/438/283/kvartira-moskva-ulica-krasnaya-presnya-382834429-2.jpg', 'https://cdn-p.cian.site/images/4/438/283/kvartira-moskva-ulica-krasnaya-presnya-382834422-2.jpg', 'https://www.cian.ru/avatar.axd?i=366151&t=2&p=2']
;;;;;;;;
1-комн. кв., 33 м?, 8/12 этаж;1-комн. квартира, 33 м?;Москва, ЮАО, р-н Орехово-Борисово Южное, Каширское ш., 126;2 200 ?/сутки;8 из 12;33 м?;сегодня, 15:06;https://www.cian.ru/rent/flat/240050041/;['https://cdn-p.cian.site/images/3/317/349/kvartira-moskva-kashirskoe-shosse-943713333-4.jpg', 'https://cdn-p.cian.site/images/3/317/349/kvartira-moskva-kashirskoe-shosse-943713333-4.jpg', 'https://cdn-p.cian.site/images/3/317/349/kvartira-moskva-kashirskoe-shosse-943713349-2.jpg', 'https://cdn-p.cian.site/images/3/317/349/kvartira-moskva-kashirskoe-shosse-943713355-2.jpg', 'https://cdn-p.cian.site/images/3/317/349/kvartira-moskva-kashirskoe-shosse-943713370-2.jpg']
;;;;;;;;
Лучшее предложение! Рядом с метро;1-комн. квартира, 34 м?;Москва, ЮАО, р-н Орехово-Борисово Южное, Воронежская ул., 34К3;2 000 ?/сутки;8 из 9;34 м?;сегодня, 07:22;https://www.cian.ru/rent/flat/35282776/;['https://cdn-p.cian.site/images/7/000/789/posutochnaja-kvartira-moskva-voronezhskaya-ulica-987000706-4.jpg', 'https://cdn-p.cian.site/images/7/000/789/posutochnaja-kvartira-moskva-voronezhskaya-ulica-987000706-4.jpg', 'https://cdn-p.cian.site/images/7/000/789/posutochnaja-kvartira-moskva-voronezhskaya-ulica-987000718-2.jpg', 'https://cdn-p.cian.site/images/6/000/789/posutochnaja-kvartira-moskva-voronezhskaya-ulica-987000699-2.jpg', 'https://cdn-p.cian.site/images/7/000/789/posutochnaja-kvartira-moskva-voronezhskaya-ulica-987000726-2.jpg']
;;;;;;;;
1-комн. кв., 35 м?, 2/14 этаж;1-комн. квартира, 35 м?;Москва, ЮАО, р-н Зябликово, Ореховый бул., 65К1;2 200 ?/сутки;2 из 14;35 м?;сегодня, 15:11;https://www.cian.ru/rent/flat/192517362/;['https://cdn-p.cian.site/images/8/502/755/kvartira-moskva-orehovyy-bulvar-557205831-4.jpg', 'https://cdn-p.cian.site/images/8/502/755/kvartira-moskva-orehovyy-bulvar-557205831-4.jpg', 'https://cdn-p.cian.site/images/8/502/755/kvartira-moskva-orehovyy-bulvar-557205832-2.jpg', 'https://cdn-p.cian.site/images/8/502/755/kvartira-moskva-orehovyy-bulvar-557205829-2.jpg', 'https://cdn-p.cian.site/images/8/502/755/kvartira-moskva-orehovyy-bulvar-557205833-2.jpg']
;;;;;;;;
Однушка 50м2 у  Цветного бульвара;1-комн. квартира, 50 м?;Москва, ЦАО, р-н Тверской, 1-й Волконский пер., 15;3 300 ?/сутки;4 из 11;50 м?;сегодня, 07:21;https://www.cian.ru/rent/flat/167555185/;['https://cdn-p.cian.site/images/2/038/283/kvartira-moskva-1y-volkonskiy-pereulok-382830233-4.jpg', 'https://cdn-p.cian.site/images/2/038/283/kvartira-moskva-1y-volkonskiy-pereulok-382830233-4.jpg', 'https://cdn-p.cian.site/images/4/989/648/kvartira-moskva-1y-volkonskiy-pereulok-846989463-2.jpg', 'https://cdn-p.cian.site/images/2/038/283/kvartira-moskva-1y-volkonskiy-pereulok-382830237-2.jpg', 'https://cdn-p.cian.site/images/2/038/283/kvartira-moskva-1y-volkonskiy-pereulok-382830215-2.jpg', 'https://www.cian.ru/avatar.axd?i=366151&t=2&p=2']
;;;;;;;;
1 минута от метро!;Апартаменты-студия, 15 м?;Москва, СВАО, р-н Отрадное, Алтуфьевское ш., 2;1 500 ?/сутки;12 из 16;15 м?;сегодня, 15:41;https://www.cian.ru/rent/flat/238401807/;['https://cdn-p.cian.site/images/1/833/039/kvartira-moskva-altufevskoe-shosse-930338128-4.jpg', 'https://cdn-p.cian.site/images/1/833/039/kvartira-moskva-altufevskoe-shosse-930338128-4.jpg', 'https://cdn-p.cian.site/images/1/833/039/kvartira-moskva-altufevskoe-shosse-930338126-2.jpg', 'https://cdn-p.cian.site/images/1/833/039/kvartira-moskva-altufevskoe-shosse-930338125-2.jpg', 'https://cdn-p.cian.site/images/1/833/039/kvartira-moskva-altufevskoe-shosse-930338127-2.jpg', 'https://www.cian.ru/avatar.axd?i=2850411&t=2&p=2']
;;;;;;;;
АКЦИЯ -200 рублей от стоимости*;1-комн. апартаменты, 20 м?;Москва, ЮАО, р-н Даниловский, Автозаводская ул., 23с931к3;2 700 ?/сутки;10 из 15;20 м?;сегодня, 03:43;https://www.cian.ru/rent/flat/234822872/;['https://cdn-p.cian.site/images/4/869/009/kvartira-moskva-avtozavodskaya-ulica-900968445-4.jpg', 'https://cdn-p.cian.site/images/4/869/009/kvartira-moskva-avtozavodskaya-ulica-900968445-4.jpg', 'https://cdn-p.cian.site/images/4/869/009/kvartira-moskva-avtozavodskaya-ulica-900968450-2.jpg', 'https://cdn-p.cian.site/images/4/869/009/kvartira-moskva-avtozavodskaya-ulica-900968477-2.jpg', 'https://cdn-p.cian.site/images/4/869/009/kvartira-moskva-avtozavodskaya-ulica-900968482-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
АКЦИЯ -200 рублей от стоимости*;1-комн. квартира, 40 м?;Москва, ЦАО, р-н Замоскворечье, Татарская ул., 7С1;2 900 ?/сутки;2 из 5;40 м?;сегодня, 03:32;https://www.cian.ru/rent/flat/194880123/;['https://cdn-p.cian.site/images/0/744/375/kvartira-moskva-bolshaya-tatarskaya-ulica-573447096-4.jpg', 'https://cdn-p.cian.site/images/0/744/375/kvartira-moskva-bolshaya-tatarskaya-ulica-573447096-4.jpg', 'https://cdn-p.cian.site/images/0/744/375/kvartira-moskva-bolshaya-tatarskaya-ulica-573447095-2.jpg', 'https://cdn-p.cian.site/images/0/744/375/kvartira-moskva-bolshaya-tatarskaya-ulica-573447096-2.jpg', 'https://cdn-p.cian.site/images/0/744/375/kvartira-moskva-bolshaya-tatarskaya-ulica-573447094-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
АКЦИЯ -200 рублей в сутки *;3-комн. квартира, 71 м?;Москва, ЮВАО, р-н Люблино, Совхозная ул., 4К4;3 700 ?/сутки;3 из 14;71 м?;сегодня, 04:09;https://www.cian.ru/rent/flat/210236187/;['https://cdn-p.cian.site/images/1/120/407/kvartira-moskva-sovhoznaya-ulica-704021152-4.jpg', 'https://cdn-p.cian.site/images/1/120/407/kvartira-moskva-sovhoznaya-ulica-704021152-4.jpg', 'https://cdn-p.cian.site/images/1/120/407/kvartira-moskva-sovhoznaya-ulica-704021157-2.jpg', 'https://cdn-p.cian.site/images/1/120/407/kvartira-moskva-sovhoznaya-ulica-704021180-2.jpg', 'https://cdn-p.cian.site/images/1/120/407/kvartira-moskva-sovhoznaya-ulica-704021147-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
1-комн. кв., 34 м?, 2/12 этаж;1-комн. квартира, 34 м?;Москва, ЮАО, р-н Чертаново Южное, Варшавское ш., 141к11;2 200 ?/сутки;2 из 12;34 м?;сегодня, 14:56;https://www.cian.ru/rent/flat/191466190/;['https://cdn-p.cian.site/images/0/890/416/kvartira-moskva-varshavskoe-shosse-614098063-4.jpg', 'https://cdn-p.cian.site/images/0/890/416/kvartira-moskva-varshavskoe-shosse-614098063-4.jpg', 'https://cdn-p.cian.site/images/0/890/416/kvartira-moskva-varshavskoe-shosse-614098061-2.jpg', 'https://cdn-p.cian.site/images/0/890/416/kvartira-moskva-varshavskoe-shosse-614098055-2.jpg', 'https://cdn-p.cian.site/images/0/890/416/kvartira-moskva-varshavskoe-shosse-614098060-2.jpg']
;;;;;;;;
3 мин от метро/есть парковка;1-комн. квартира, 25 м?;Москва, ЮАО, р-н Даниловский, Автозаводская ул., 19К1;2 500 ?/сутки;4 из 5;25 м?;сегодня, 05:16;https://www.cian.ru/rent/flat/241360802/;['https://cdn-p.cian.site/images/7/419/459/kvartira-moskva-avtozavodskaya-ulica-954914717-4.jpg', 'https://cdn-p.cian.site/images/7/419/459/kvartira-moskva-avtozavodskaya-ulica-954914717-4.jpg', 'https://cdn-p.cian.site/images/7/419/459/kvartira-moskva-avtozavodskaya-ulica-954914716-2.jpg', 'https://cdn-p.cian.site/images/7/419/459/kvartira-moskva-avtozavodskaya-ulica-954914714-2.jpg', 'https://cdn-p.cian.site/images/7/419/459/kvartira-moskva-avtozavodskaya-ulica-954914719-2.jpg', 'https://www.cian.ru/avatar.axd?i=26198469&t=2&p=2']
;;;;;;;;
Лучшее предложение!Рядом с метро!;1-комн. квартира, 37 м?;Москва, ЮВАО, р-н Люблино, Белореченская ул., 12;2 000 ?/сутки;3 из 17;37 м?;сегодня, 07:35;https://www.cian.ru/rent/flat/12346245/;['https://cdn-p.cian.site/images/5/060/848/kvartira-moskva-belorechenskaya-ulica-848060528-4.jpg', 'https://cdn-p.cian.site/images/5/060/848/kvartira-moskva-belorechenskaya-ulica-848060528-4.jpg', 'https://cdn-p.cian.site/images/5/060/848/kvartira-moskva-belorechenskaya-ulica-848060573-2.jpg', 'https://cdn-p.cian.site/images/5/060/848/kvartira-moskva-belorechenskaya-ulica-848060567-2.jpg', 'https://cdn-p.cian.site/images/5/060/848/kvartira-moskva-belorechenskaya-ulica-848060540-2.jpg']
;;;;;;;;
АКЦИЯ -200 рублей в сутки *;2-комн. квартира, 50 м?;Москва, ЮАО, р-н Орехово-Борисово Северное, Домодедовская ул., 22К1;3 000 ?/сутки;2 из 12;50 м?;сегодня, 12:51;https://www.cian.ru/rent/flat/164131961/;['https://cdn-p.cian.site/images/4/551/144/kvartira-moskva-domodedovskaya-ulica-441155441-4.jpg', 'https://cdn-p.cian.site/images/4/551/144/kvartira-moskva-domodedovskaya-ulica-441155441-4.jpg', 'https://cdn-p.cian.site/images/4/551/144/kvartira-moskva-domodedovskaya-ulica-441155432-2.jpg', 'https://cdn-p.cian.site/images/4/551/144/kvartira-moskva-domodedovskaya-ulica-441155446-2.jpg', 'https://cdn-p.cian.site/images/4/551/144/kvartira-moskva-domodedovskaya-ulica-441155452-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
Чисто и уютно;1-комн. квартира, 38 м?;Москва, ЮВАО, р-н Люблино, Люблинская ул., 147;1 800 ?/сутки;6 из 12;38 м?;сегодня, 18:57;https://www.cian.ru/rent/flat/189248497/;['https://cdn-p.cian.site/images/9/033/545/kvartira-moskva-lyublinskaya-ulica-545330901-4.jpg', 'https://cdn-p.cian.site/images/9/033/545/kvartira-moskva-lyublinskaya-ulica-545330901-4.jpg', 'https://cdn-p.cian.site/images/2/119/015/kvartira-moskva-lyublinskaya-ulica-510911200-2.jpg', 'https://cdn-p.cian.site/images/8/033/545/kvartira-moskva-lyublinskaya-ulica-545330898-2.jpg', 'https://cdn-p.cian.site/images/8/033/545/kvartira-moskva-lyublinskaya-ulica-545330895-2.jpg']
;;;;;;;;
7 мин пешком от метро Сухаревская;1-комн. квартира, 42 м?;Москва, ЦАО, р-н Красносельский, пер. Докучаев, 2;2 700 ?/сутки;3 из 16;42 м?;сегодня, 07:57;https://www.cian.ru/rent/flat/238558198/;['https://cdn-p.cian.site/images/8/085/139/kvartira-moskva-pereulok-dokuchaev-931580898-4.jpg', 'https://cdn-p.cian.site/images/8/085/139/kvartira-moskva-pereulok-dokuchaev-931580898-4.jpg', 'https://cdn-p.cian.site/images/9/085/139/kvartira-moskva-pereulok-dokuchaev-931580900-2.jpg', 'https://cdn-p.cian.site/images/9/085/139/kvartira-moskva-pereulok-dokuchaev-931580902-2.jpg', 'https://cdn-p.cian.site/images/9/085/139/kvartira-moskva-pereulok-dokuchaev-931580901-2.jpg', 'https://www.cian.ru/avatar.axd?i=120221&t=2&p=2']
